source_row_id,record_id,chemical_key,facility_id,location_status,coordinate_status,rejection_reason,has_cbi_location,has_cbi_volume
958,cdr:958,CASRN:7681494,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
959,cdr:959,CASRN:14434221,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
963,cdr:963,CASRN:9004324,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
964,cdr:964,CASRN:7647156,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
965,cdr:965,CASRN:7789380,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
966,cdr:966,CASRN:1333831,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
967,cdr:967,CASRN:532321,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
968,cdr:968,CASRN:7758169,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
969,cdr:969,CASRN:111206,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
970,cdr:970,CASRN:69727,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
971,cdr:971,CASRN:87661,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
972,cdr:972,CASRN:85427,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
973,cdr:973,CASRN:91634,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
974,cdr:974,CASRN:78922,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
975,cdr:975,CASRN:5165979,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
976,cdr:976,CASRN:67801018,REDACTED_RECORD:976,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
977,cdr:977,CASRN:67801018,REDACTED_RECORD:977,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
978,cdr:978,CASRN:6528343,REDACTED_RECORD:978,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
979,cdr:979,CASRN:6528343,REDACTED_RECORD:979,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
980,cdr:980,CASRN:6486233,REDACTED_RECORD:980,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
981,cdr:981,CASRN:6486233,REDACTED_RECORD:981,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
982,cdr:982,CASRN:6486233,REDACTED_RECORD:982,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
983,cdr:983,CASRN:6448959,REDACTED_RECORD:983,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
994,cdr:994,CASRN:65997195,REDACTED_RECORD:994,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
996,cdr:996,CASRN:14808607,REDACTED_RECORD:996,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
997,cdr:997,CASRN:1309371,REDACTED_RECORD:997,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
998,cdr:998,CASRN:1344281,REDACTED_RECORD:998,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1008,cdr:1008,CASRN:1333740,REDACTED_RECORD:1008,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1038,cdr:1038,CASRN:75105,REDACTED_RECORD:1038,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
1096,cdr:1096,CASRN:65996749,REDACTED_RECORD:1096,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
1097,cdr:1097,CASRN:57114,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1098,cdr:1098,CASRN:7758294,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1099,cdr:1099,CASRN:10102177,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1100,cdr:1100,CASRN:822162,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1101,cdr:1101,CASRN:16893859,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1102,cdr:1102,CASRN:9033798,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1103,cdr:1103,CASRN:7487889,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1104,cdr:1104,CASRN:140932,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1105,cdr:1105,CASRN:7681530,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1106,cdr:1106,CASRN:7775146,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1107,cdr:1107,CASRN:68915311,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1108,cdr:1108,CASRN:141537,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
1109,cdr:1109,CASRN:6358856,REDACTED_RECORD:1109,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
